"Date","NorthIceAverageExtent","SouthIceAverageExtent","GlobalIceExtent","N-SDiffIceExtent","Trend for Co2 amount"
1988-11-01,11.3308333333333,16.1476666666667,27.4785,-4.81683333333333,352.34
1988-12-01,13.6255483870968,11.0606129032258,24.6861612903226,2.56493548387097,352.35
1989-01-01,14.9548064516129,4.7368064516129,19.6916129032258,10.218,352.85
1989-02-01,15.4955357142857,2.97760714285714,18.4731428571429,12.5179285714286,352.54
1989-03-01,15.4232903225806,3.92729032258065,19.3505806451613,11.496,352.47
1989-04-01,14.3284,6.30626666666667,20.6346666666667,8.02213333333333,352.97
1989-05-01,13.0441290322581,10.2971612903226,23.3412903225806,2.74696774193548,352.67
1989-06-01,12.2445333333333,13.5804333333333,25.8249666666667,-1.3359,352.97
1989-07-01,10.1297096774194,15.7105806451613,25.8402903225806,-5.58087096774194,353.3
1989-08-01,7.88177419354839,17.4656451612903,25.3474193548387,-9.58387096774193,353.37
1989-09-01,7.00833333333333,18.1210666666667,25.1294,-11.1127333333333,353.32
1989-10-01,8.82890322580645,17.8560967741935,26.685,-9.0271935483871,353.52
1989-11-01,11.1152333333333,15.7334333333333,26.8486666666667,-4.6182,353.65
1989-12-01,13.3868064516129,9.83751612903226,23.2243225806452,3.54929032258065,353.8
1990-01-01,14.7826129032258,4.86738709677419,19.65,9.91522580645161,353.75
1990-02-01,15.5782142857143,3.03617857142857,18.6143928571429,12.5420357142857,354.33
1990-03-01,15.8667419354839,3.96596774193548,19.8327096774194,11.9007741935484,354.24
1990-04-01,14.6500666666667,6.99986666666667,21.6499333333333,7.6502,353.68
1990-05-01,13.2258387096774,9.71545161290322,22.9412903225806,3.51038709677419,354.16
1990-06-01,11.6405666666667,13.0829,24.7234666666667,-1.44233333333333,353.97
1990-07-01,9.24661290322581,15.570935483871,24.8175483870968,-6.32432258064516,354.19
1990-08-01,6.79748387096774,17.5674516129032,24.364935483871,-10.7699677419355,354.61
1990-09-01,6.1428,18.193,24.3358,-12.0502,354.61
1990-10-01,8.48493548387097,17.9453225806452,26.4302580645161,-9.46038709677419,354.89
1990-11-01,11.0752,15.4683,26.5435,-4.3931,355.13
1990-12-01,13.1055483870968,9.95351612903226,23.059064516129,3.15203225806452,355.19
1991-01-01,14.3638064516129,5.33825806451613,19.702064516129,9.02554838709677,354.82
1991-02-01,15.2493928571429,3.16110714285714,18.4105,12.0882857142857,355.02
1991-03-01,15.4161290322581,3.80683870967742,19.2229677419355,11.6092903225806,355.67
1991-04-01,14.8597333333333,7.05346666666667,21.9132,7.80626666666667,356.02
1991-05-01,13.4731290322581,10.2794516129032,23.7525806451613,3.19367741935484,356
1991-06-01,12.1080333333333,13.0656666666667,25.1737,-0.957633333333334,355.8
1991-07-01,9.51403225806452,15.5504193548387,25.0644516129032,-6.03638709677419,355.59
1991-08-01,7.41535483870968,17.7189677419355,25.1343225806452,-10.3036129032258,355.46
1991-09-01,6.4729,18.3126,24.7855,-11.8397,355.56
1991-10-01,8.54141935483871,17.9172903225806,26.4587096774194,-9.37587096774194,355.61
1991-11-01,10.8846,15.5835333333333,26.4681333333333,-4.69893333333333,355.8
1991-12-01,12.9450967741935,10.1923225806452,23.1374193548387,2.75277419354839,355.93
1992-01-01,14.6426774193548,4.74887096774194,19.3915483870968,9.8938064516129,356.2
1992-02-01,15.4621034482759,2.83737931034483,18.2994827586207,12.624724137931,356.38
1992-03-01,15.4811290322581,3.57329032258064,19.0544193548387,11.9078387096774,356.27
1992-04-01,14.6769,6.7941,21.471,7.8828,356.39
1992-05-01,13.2155483870968,9.92477419354839,23.1403225806452,3.29077419354839,356.41
1992-06-01,12.1467666666667,12.8085,24.9552666666667,-0.661733333333334,356.97
1992-07-01,10.3231290322581,15.8944193548387,26.2175483870968,-5.57129032258064,356.44
1992-08-01,7.92525806451613,17.7270322580645,25.6522903225806,-9.80177419354839,356.62
1992-09-01,7.4737,18.1472,25.6209,-10.6735,356.29
1992-10-01,9.31951612903226,17.9339677419355,27.2534838709677,-8.61445161290322,356.63
1992-11-01,11.3786666666667,15.8955,27.2741666666667,-4.51683333333333,356.38
1992-12-01,13.4073870967742,10.2057419354839,23.6131290322581,3.20164516129032,356.39
1993-01-01,14.896064516129,4.40938709677419,19.3054516129032,10.4866774193548,356.96
1993-02-01,15.6856428571429,2.48217857142857,18.1678214285714,13.2034642857143,356.44
1993-03-01,15.8131612903226,3.6681935483871,19.4813548387097,12.1449677419355,356.76
1993-04-01,15.0772,6.6516,21.7288,8.4256,356.59
1993-05-01,13.3682258064516,10.1037741935484,23.472,3.26445161290323,357.03
1993-06-01,11.8709,13.1471666666667,25.0180666666667,-1.27626666666667,357.12
1993-07-01,9.47635483870968,15.8548709677419,25.3312258064516,-6.37851612903226,356.76
1993-08-01,7.335,17.4917741935484,24.8267741935484,-10.1567741935484,357.32
1993-09-01,6.39666666666667,18.5432,24.9398666666667,-12.1465333333333,357.39
1993-10-01,8.78612903225806,18.1275483870968,26.9136774193548,-9.34141935483871,357.49
1993-11-01,11.3187333333333,16.0420666666667,27.3608,-4.72333333333333,357.54
1993-12-01,13.3189677419355,9.93335483870968,23.2523225806452,3.38561290322581,357.8
1994-01-01,14.7297741935484,4.96570967741935,19.6954838709677,9.76406451612903,358.13
1994-02-01,15.5618928571429,3.19753571428571,18.7594285714286,12.3643571428571,358.09
1994-03-01,15.5536129032258,4.54935483870968,20.1029677419355,11.0042580645161,358.29
1994-04-01,14.8880333333333,7.22156666666667,22.1096,7.66646666666667,358.46
1994-05-01,13.6243870967742,10.408,24.0323870967742,3.21638709677419,358.46
1994-06-01,12.0164,13.5601333333333,25.5765333333333,-1.54373333333333,358.44
1994-07-01,9.92516129032258,16.2959677419355,26.2211290322581,-6.3708064516129,358.79
1994-08-01,7.63929032258064,17.8395806451613,25.4788709677419,-10.2002903225806,359.16
1994-09-01,7.1376,18.6126333333333,25.7502333333333,-11.4750333333333,359.17
1994-10-01,8.91529032258065,18.090064516129,27.0053548387097,-9.17477419354839,359.49
1994-11-01,11.1232,15.8804333333333,27.0036333333333,-4.75723333333333,359.68
1994-12-01,13.2718709677419,10.1005161290323,23.3723870967742,3.17135483870968,359.83
1995-01-01,14.5863870967742,5.636,20.2223870967742,8.95038709677419,359.79
1995-02-01,15.2256785714286,3.56078571428571,18.7864642857143,11.6648928571429,360.05
1995-03-01,15.2601612903226,4.62641935483871,19.8865806451613,10.6337419354839,360.22
1995-04-01,14.4486,7.26763333333333,21.7162333333333,7.18096666666667,360.62
1995-05-01,12.972064516129,10.4154838709677,23.3875483870968,2.55658064516129,360.58
1995-06-01,11.4404333333333,13.2898666666667,24.7303,-1.84943333333333,360.84
1995-07-01,8.98709677419355,15.7438709677419,24.7309677419355,-6.75677419354839,360.97
1995-08-01,6.74435483870968,17.7801935483871,24.5245483870968,-11.0358387096774,360.73
1995-09-01,6.08013333333333,18.3727333333333,24.4528666666667,-12.2926,361.55
1995-10-01,7.82893548387097,18.0296451612903,25.8585806451613,-10.2007096774194,361.37
1995-11-01,10.7608666666667,15.6339333333333,26.3948,-4.87306666666667,361.59
1995-12-01,12.9208387096774,10.6219032258065,23.5427419354839,2.29893548387097,361.53
1996-01-01,14.1808709677419,5.87112903225806,20.052,8.30974193548387,361.85
1996-02-01,15.1548275862069,2.98458620689655,18.1394137931035,12.1702413793103,362.35
1996-03-01,15.1228064516129,4.18348387096774,19.3062903225806,10.9393225806452,362.53
1996-04-01,14.2158666666667,7.27993333333333,21.4958,6.93593333333333,361.86
1996-05-01,13.0945483870968,10.9167419354839,24.0112903225806,2.1778064516129,362.1
1996-06-01,12.0838333333333,13.8703666666667,25.9542,-1.78653333333333,362.69
1996-07-01,10.1642580645161,16.1196774193548,26.283935483871,-5.95541935483871,362.85
1996-08-01,8.18045161290323,17.7413870967742,25.9218387096774,-9.56093548387097,362.98
1996-09-01,7.58253333333333,18.6316,26.2141333333333,-11.0490666666667,362.99
